exp_id,algorithm,num_bots,num_dirt,seed,max_steps,num_dynamic_obstacles,sensor_noise,execution_noise,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,dynamic_collisions,robot_collisions,total_distance,path_efficiency,performance_score,success
astar_bots2_dirt100_dyn0_snoise0p0_enoise0p0_seed0,astar,2,100,0,500,0,0.0,0.0,500,True,0.6214,2026-04-14 10:47:01,0.01,100,0,0,0,4023.88,0.0025,-8.024,0
astar_bots2_dirt100_dyn0_snoise0p0_enoise0p3_seed0,astar,2,100,0,500,0,0.0,0.3,500,True,0.6935,2026-04-14 10:47:02,0.0088,100,0,0,0,3992.71,0.0022,-8.113,0
astar_bots2_dirt100_dyn0_snoise0p0_enoise0p8_seed0,astar,2,100,0,500,0,0.0,0.8,500,True,0.6234,2026-04-14 10:47:02,0.01,100,0,0,0,4047.37,0.0025,-8.047,0
astar_bots2_dirt100_dyn0_snoise2p0_enoise0p0_seed0,astar,2,100,0,500,0,2.0,0.0,500,True,0.6078,2026-04-14 10:47:03,0.01,100,0,0,0,4023.88,0.0025,-8.024,0
astar_bots2_dirt100_dyn0_snoise2p0_enoise0p3_seed0,astar,2,100,0,500,0,2.0,0.3,500,True,0.6635,2026-04-14 10:47:04,0.0096,100,0,0,0,4015.82,0.0024,-8.056,0
astar_bots2_dirt100_dyn0_snoise2p0_enoise0p8_seed0,astar,2,100,0,500,0,2.0,0.8,500,True,0.6763,2026-04-14 10:47:04,0.01,100,0,0,0,3978.71,0.0025,-7.979,0
astar_bots2_dirt100_dyn0_snoise5p0_enoise0p0_seed0,astar,2,100,0,500,0,5.0,0.0,500,True,0.6175,2026-04-14 10:47:05,0.01,100,0,0,0,4023.88,0.0025,-8.024,0
astar_bots2_dirt100_dyn0_snoise5p0_enoise0p3_seed0,astar,2,100,0,500,0,5.0,0.3,500,True,0.62,2026-04-14 10:47:06,0.0096,100,0,0,0,4015.82,0.0024,-8.056,0
astar_bots2_dirt100_dyn0_snoise5p0_enoise0p8_seed0,astar,2,100,0,500,0,5.0,0.8,500,True,0.6952,2026-04-14 10:47:07,0.01,100,0,0,0,3978.71,0.0025,-7.979,0
astar_bots2_dirt100_dyn2_snoise0p0_enoise0p0_seed0,astar,2,100,0,500,2,0.0,0.0,500,True,1.0123,2026-04-14 10:47:08,0.0172,96,22,22,0,2205.24,0.0078,-49.485,0
astar_bots2_dirt100_dyn2_snoise0p0_enoise0p3_seed0,astar,2,100,0,500,2,0.0,0.3,500,True,1.063,2026-04-14 10:47:09,0.0188,98,25,25,0,2308.13,0.0081,-55.428,0
astar_bots2_dirt100_dyn2_snoise0p0_enoise0p8_seed0,astar,2,100,0,500,2,0.0,0.8,500,True,1.0295,2026-04-14 10:47:10,0.0204,97,43,36,0,2673.23,0.0076,-91.633,0
astar_bots2_dirt100_dyn2_snoise2p0_enoise0p0_seed0,astar,2,100,0,500,2,2.0,0.0,500,True,1.012,2026-04-14 10:47:11,0.0172,96,22,22,0,2192.12,0.0078,-49.472,0
astar_bots2_dirt100_dyn2_snoise2p0_enoise0p3_seed0,astar,2,100,0,500,2,2.0,0.3,500,True,0.9938,2026-04-14 10:47:12,0.0184,97,25,25,0,2343.88,0.0079,-55.504,0
astar_bots2_dirt100_dyn2_snoise2p0_enoise0p8_seed0,astar,2,100,0,500,2,2.0,0.8,500,True,1.0483,2026-04-14 10:47:13,0.0176,96,25,25,0,2466.64,0.0071,-55.707,0
astar_bots2_dirt100_dyn2_snoise5p0_enoise0p0_seed0,astar,2,100,0,500,2,5.0,0.0,500,True,1.0489,2026-04-14 10:47:14,0.0172,96,22,22,0,2202.66,0.0078,-49.483,0
astar_bots2_dirt100_dyn2_snoise5p0_enoise0p3_seed0,astar,2,100,0,500,2,5.0,0.3,500,True,0.9693,2026-04-14 10:47:15,0.0188,97,25,25,0,2346.7,0.008,-55.467,0
astar_bots2_dirt100_dyn2_snoise5p0_enoise0p8_seed0,astar,2,100,0,500,2,5.0,0.8,500,True,0.9934,2026-04-14 10:47:16,0.0172,96,25,25,0,2470.82,0.007,-55.751,0
astar_bots2_dirt100_dyn4_snoise0p0_enoise0p0_seed0,astar,2,100,0,500,4,0.0,0.0,500,True,1.0365,2026-04-14 10:47:17,0.0076,99,0,0,0,3643.75,0.0021,-7.884,0
astar_bots2_dirt100_dyn4_snoise0p0_enoise0p3_seed0,astar,2,100,0,500,4,0.0,0.3,500,True,1.1948,2026-04-14 10:47:19,0.0076,99,0,0,0,3636.97,0.0021,-7.877,0
astar_bots2_dirt100_dyn4_snoise0p0_enoise0p8_seed0,astar,2,100,0,500,4,0.0,0.8,500,True,1.0256,2026-04-14 10:47:20,0.0076,99,0,0,0,3602.9,0.0021,-7.843,0
astar_bots2_dirt100_dyn4_snoise2p0_enoise0p0_seed0,astar,2,100,0,500,4,2.0,0.0,500,True,1.081,2026-04-14 10:47:21,0.0076,99,0,0,0,3637.44,0.0021,-7.877,0
astar_bots2_dirt100_dyn4_snoise2p0_enoise0p3_seed0,astar,2,100,0,500,4,2.0,0.3,500,True,1.0695,2026-04-14 10:47:22,0.0076,99,0,0,0,3616.43,0.0021,-7.856,0
astar_bots2_dirt100_dyn4_snoise2p0_enoise0p8_seed0,astar,2,100,0,500,4,2.0,0.8,500,True,1.1925,2026-04-14 10:47:23,0.0076,99,0,0,0,3622.68,0.0021,-7.863,0
astar_bots2_dirt100_dyn4_snoise5p0_enoise0p0_seed0,astar,2,100,0,500,4,5.0,0.0,500,True,1.1791,2026-04-14 10:47:24,0.0076,99,0,0,0,3639.52,0.0021,-7.88,0
astar_bots2_dirt100_dyn4_snoise5p0_enoise0p3_seed0,astar,2,100,0,500,4,5.0,0.3,500,True,1.0464,2026-04-14 10:47:26,0.0076,99,0,0,0,3620.67,0.0021,-7.861,0
astar_bots2_dirt100_dyn4_snoise5p0_enoise0p8_seed0,astar,2,100,0,500,4,5.0,0.8,500,True,1.0887,2026-04-14 10:47:27,0.0076,99,0,0,0,3636.38,0.0021,-7.876,0
astar_bots2_dirt100_dyn0_snoise0p0_enoise0p0_seed1,astar,2,100,1,500,0,0.0,0.0,500,True,0.6829,2026-04-14 10:47:27,0.0184,98,0,0,0,4238.67,0.0043,-7.399,0
astar_bots2_dirt100_dyn0_snoise0p0_enoise0p3_seed1,astar,2,100,1,500,0,0.0,0.3,500,True,0.622,2026-04-14 10:47:28,0.0204,98,0,0,0,4152.27,0.0049,-7.112,0
astar_bots2_dirt100_dyn0_snoise0p0_enoise0p8_seed1,astar,2,100,1,500,0,0.0,0.8,500,True,0.7312,2026-04-14 10:47:29,0.02,98,0,0,0,4181.2,0.0048,-7.181,0
astar_bots2_dirt100_dyn0_snoise2p0_enoise0p0_seed1,astar,2,100,1,500,0,2.0,0.0,500,True,0.6503,2026-04-14 10:47:30,0.0184,98,0,0,0,4238.67,0.0043,-7.399,0
astar_bots2_dirt100_dyn0_snoise2p0_enoise0p3_seed1,astar,2,100,1,500,0,2.0,0.3,500,True,0.6751,2026-04-14 10:47:30,0.0204,98,0,0,0,4146.4,0.0049,-7.106,0
astar_bots2_dirt100_dyn0_snoise2p0_enoise0p8_seed1,astar,2,100,1,500,0,2.0,0.8,500,True,0.6169,2026-04-14 10:47:31,0.0188,97,0,0,0,4008.34,0.0047,-7.128,0
astar_bots2_dirt100_dyn0_snoise5p0_enoise0p0_seed1,astar,2,100,1,500,0,5.0,0.0,500,True,0.6524,2026-04-14 10:47:32,0.0184,98,0,0,0,4238.67,0.0043,-7.399,0
astar_bots2_dirt100_dyn0_snoise5p0_enoise0p3_seed1,astar,2,100,1,500,0,5.0,0.3,500,True,0.6789,2026-04-14 10:47:32,0.0204,98,0,0,0,4146.4,0.0049,-7.106,0
astar_bots2_dirt100_dyn0_snoise5p0_enoise0p8_seed1,astar,2,100,1,500,0,5.0,0.8,500,True,0.6208,2026-04-14 10:47:33,0.0188,97,0,0,0,4008.34,0.0047,-7.128,0
astar_bots2_dirt100_dyn2_snoise0p0_enoise0p0_seed1,astar,2,100,1,500,2,0.0,0.0,500,True,0.9478,2026-04-14 10:47:34,0.0252,92,0,0,0,2179.13,0.0116,-4.659,0
astar_bots2_dirt100_dyn2_snoise0p0_enoise0p3_seed1,astar,2,100,1,500,2,0.0,0.3,500,True,0.8985,2026-04-14 10:47:35,0.0204,95,2,2,0,2467.21,0.0083,-9.427,0
astar_bots2_dirt100_dyn2_snoise0p0_enoise0p8_seed1,astar,2,100,1,500,2,0.0,0.8,500,True,0.9363,2026-04-14 10:47:36,0.0184,97,0,0,0,2581.1,0.0071,-5.741,0
astar_bots2_dirt100_dyn2_snoise2p0_enoise0p0_seed1,astar,2,100,1,500,2,2.0,0.0,500,True,0.9512,2026-04-14 10:47:37,0.0252,92,0,0,0,2187.14,0.0115,-4.667,0
astar_bots2_dirt100_dyn2_snoise2p0_enoise0p3_seed1,astar,2,100,1,500,2,2.0,0.3,500,True,0.8895,2026-04-14 10:47:38,0.0256,91,0,0,0,1255.2,0.0204,-3.695,0
astar_bots2_dirt100_dyn2_snoise2p0_enoise0p8_seed1,astar,2,100,1,500,2,2.0,0.8,500,True,0.9424,2026-04-14 10:47:39,0.0236,96,0,0,0,2391.3,0.0099,-5.031,0
astar_bots2_dirt100_dyn2_snoise5p0_enoise0p0_seed1,astar,2,100,1,500,2,5.0,0.0,500,True,0.9315,2026-04-14 10:47:40,0.0252,92,0,0,0,2179.2,0.0116,-4.659,0
astar_bots2_dirt100_dyn2_snoise5p0_enoise0p3_seed1,astar,2,100,1,500,2,5.0,0.3,500,True,0.8472,2026-04-14 10:47:41,0.0256,91,0,0,0,1255.2,0.0204,-3.695,0
astar_bots2_dirt100_dyn2_snoise5p0_enoise0p8_seed1,astar,2,100,1,500,2,5.0,0.8,500,True,0.9665,2026-04-14 10:47:42,0.024,96,0,0,0,2359.94,0.0102,-4.96,0
astar_bots2_dirt100_dyn4_snoise0p0_enoise0p0_seed1,astar,2,100,1,500,4,0.0,0.0,500,True,1.0666,2026-04-14 10:47:43,0.0112,98,25,25,0,2099.92,0.0053,-55.98,0
astar_bots2_dirt100_dyn4_snoise0p0_enoise0p3_seed1,astar,2,100,1,500,4,0.0,0.3,500,True,1.105,2026-04-14 10:47:44,0.0124,98,25,25,0,2170.16,0.0057,-55.93,0
astar_bots2_dirt100_dyn4_snoise0p0_enoise0p8_seed1,astar,2,100,1,500,4,0.0,0.8,500,True,1.0671,2026-04-14 10:47:45,0.0216,98,28,25,3,2895.85,0.0075,-61.736,0
astar_bots2_dirt100_dyn4_snoise2p0_enoise0p0_seed1,astar,2,100,1,500,4,2.0,0.0,500,True,1.0281,2026-04-14 10:47:46,0.0112,98,25,25,0,2107.66,0.0053,-55.988,0
