step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,100,0,2.0,0.2004,0.028,0
1,0.0004,0.0008,100,0,3.99,0.2004,0.056,0
2,0.0,0.0008,100,0,5.99,0.1336,0.044,0
3,0.0,0.0008,100,0,7.98,0.1002,0.032,0
4,0.0,0.0008,100,0,9.98,0.0802,0.02,0
5,0.0,0.0008,100,0,11.97,0.0668,0.008,0
6,0.0,0.0008,100,0,13.97,0.0573,-0.004,0
7,0.0,0.0008,100,0,16.06,0.0498,-0.016,0
8,0.0,0.0008,100,0,18.06,0.0443,-0.028,0
9,0.0,0.0008,100,0,20.05,0.0399,-0.04,0
10,0.0,0.0008,100,0,22.05,0.0363,-0.052,0
11,0.00039999999999999986,0.0012,100,0,24.04,0.0499,-0.024,0
12,0.0,0.0012,100,0,26.04,0.0461,-0.036,0
13,0.0004000000000000002,0.0016,100,0,28.03,0.0571,-0.008,0
14,0.0,0.0016,100,0,30.03,0.0533,-0.02,0
15,0.0,0.0016,100,0,32.02,0.05,-0.032,0
16,0.0,0.0016,100,0,34.02,0.047,-0.044,0
17,0.0,0.0016,100,0,36.01,0.0444,-0.056,0
18,0.0,0.0016,100,0,38.01,0.0421,-0.068,0
19,0.0,0.0016,100,0,40.0,0.04,-0.08,0
20,0.0,0.0016,100,0,42.0,0.0381,-0.092,0
21,0.0,0.0016,100,0,43.99,0.0364,-0.104,0
22,0.0,0.0016,100,0,45.99,0.0348,-0.116,0
23,0.0,0.0016,100,0,47.98,0.0333,-0.128,0
24,0.00039999999999999996,0.002,100,0,49.98,0.04,-0.1,0
25,0.0,0.002,100,0,51.97,0.0385,-0.112,0
26,0.0,0.002,100,0,53.97,0.0371,-0.124,0
27,0.0,0.002,100,0,55.96,0.0357,-0.136,0
28,0.0,0.002,100,0,57.96,0.0345,-0.148,0
29,0.0,0.002,100,0,59.95,0.0334,-0.16,0
30,0.0,0.002,100,0,61.95,0.0323,-0.172,0
31,0.00039999999999999975,0.0024,100,0,63.95,0.0375,-0.144,0
32,0.0,0.0024,100,0,65.94,0.0364,-0.156,0
33,0.0,0.0024,100,0,67.94,0.0353,-0.168,0
34,0.0,0.0024,100,0,69.94,0.0343,-0.18,0
35,0.0,0.0024,100,0,71.93,0.0334,-0.192,0
36,0.0,0.0024,100,0,73.93,0.0325,-0.204,0
37,0.0,0.0024,100,0,75.92,0.0316,-0.216,0
38,0.0,0.0024,100,0,77.92,0.0308,-0.228,0
39,0.0,0.0024,100,0,79.91,0.03,-0.24,0
40,0.0,0.0024,100,0,81.91,0.0293,-0.252,0
41,0.0,0.0024,99,0,83.9,0.0286,-0.264,0
42,0.0004000000000000002,0.0028,99,0,85.9,0.0326,-0.236,0
43,0.0,0.0028,99,0,87.89,0.0319,-0.248,0
44,0.0,0.0028,99,0,89.89,0.0312,-0.26,0
45,0.0,0.0028,99,0,91.88,0.0305,-0.272,0
46,0.0004000000000000002,0.0032,99,0,93.88,0.0341,-0.244,0
47,0.0,0.0032,99,0,95.87,0.0334,-0.256,0
48,0.0,0.0032,99,0,97.87,0.0327,-0.268,0
49,0.0,0.0032,99,0,99.86,0.032,-0.28,0
50,0.0,0.0032,99,0,101.86,0.0314,-0.292,0
51,0.0,0.0032,99,0,103.85,0.0308,-0.304,0
52,0.00039999999999999975,0.0036,99,0,105.85,0.034,-0.276,0
53,0.0,0.0036,99,0,107.84,0.0334,-0.288,0
54,0.0,0.0036,99,0,109.84,0.0328,-0.3,0
55,0.0,0.0036,99,0,111.84,0.0322,-0.312,0
56,0.0,0.0036,99,0,113.83,0.0316,-0.324,0
57,0.0,0.0036,99,0,115.83,0.0311,-0.336,0
58,0.0,0.0036,99,0,117.82,0.0306,-0.348,0
59,0.0,0.0036,99,0,119.82,0.03,-0.36,0
60,0.0,0.0036,99,0,121.81,0.0296,-0.372,0
61,0.0,0.0036,99,0,123.81,0.0291,-0.384,0
62,0.0,0.0036,99,0,125.8,0.0286,-0.396,0
63,0.0004000000000000002,0.004,99,0,127.8,0.0313,-0.368,0
64,0.0,0.004,99,0,129.79,0.0308,-0.38,0
65,0.0,0.004,99,0,131.79,0.0304,-0.392,0
66,0.0,0.004,99,0,133.78,0.0299,-0.404,0
67,0.0,0.004,99,0,135.78,0.0295,-0.416,0
68,0.0,0.004,99,0,137.77,0.029,-0.428,0
69,0.0,0.004,99,0,139.77,0.0286,-0.44,0
70,0.0,0.004,99,0,141.76,0.0282,-0.452,0
71,0.0,0.004,99,0,143.76,0.0278,-0.464,0
72,0.0,0.004,99,0,145.75,0.0274,-0.476,0
73,0.0004000000000000002,0.0044,99,0,147.75,0.0298,-0.448,0
74,0.0,0.0044,99,0,149.75,0.0294,-0.46,0
75,0.0,0.0044,99,0,151.74,0.029,-0.472,0
76,0.0,0.0044,99,0,153.74,0.0286,-0.484,0
77,0.0003999999999999993,0.0048,99,0,155.73,0.0308,-0.456,0
78,0.0,0.0048,99,0,157.73,0.0304,-0.468,0
79,0.0,0.0048,99,0,159.75,0.03,-0.48,0
80,0.0,0.0048,99,0,161.75,0.0297,-0.492,0
81,0.0,0.0048,99,0,163.75,0.0293,-0.504,0
82,0.0,0.0048,99,0,165.74,0.029,-0.516,0
83,0.0004000000000000002,0.0052,99,0,167.74,0.031,-0.488,0
84,0.0,0.0052,99,0,169.73,0.0306,-0.5,0
85,0.0,0.0052,99,0,171.73,0.0303,-0.512,0
86,0.0,0.0052,99,0,173.72,0.0299,-0.524,0
87,0.0004000000000000002,0.0056,99,0,175.72,0.0319,-0.496,0
88,0.0,0.0056,99,0,177.71,0.0315,-0.508,0
89,0.0,0.0056,99,0,179.71,0.0312,-0.52,0
90,0.0,0.0056,99,0,181.7,0.0308,-0.532,0
91,0.0,0.0056,99,0,183.7,0.0305,-0.544,0
92,0.0,0.0056,99,0,185.69,0.0302,-0.556,0
93,0.0,0.0056,99,0,187.69,0.0298,-0.568,0
94,0.0004000000000000002,0.006,99,0,189.68,0.0316,-0.54,0
95,0.0,0.006,99,0,194.69,0.0308,-0.555,0
96,0.0,0.006,99,0,199.5,0.0301,-0.569,0
97,0.0,0.006,99,0,204.09,0.0294,-0.584,0
98,0.0,0.006,99,0,208.46,0.0288,-0.598,0
99,0.0004000000000000002,0.0064,99,0,212.61,0.0301,-0.573,0
100,0.0003999999999999993,0.0068,99,0,216.74,0.0314,-0.547,0
101,0.0,0.0068,99,0,220.89,0.0308,-0.561,0
102,0.0,0.0068,99,0,225.03,0.0302,-0.575,0
103,0.0,0.0068,99,0,229.17,0.0297,-0.589,0
104,0.0004000000000000002,0.0072,99,0,233.31,0.0309,-0.563,0
105,0.0,0.0072,99,0,237.45,0.0303,-0.577,0
106,0.0,0.0072,99,0,241.59,0.0298,-0.592,0
107,0.0,0.0072,99,0,245.73,0.0293,-0.606,0
108,0.0,0.0072,99,0,249.87,0.0288,-0.62,0
109,0.0004000000000000002,0.0076,99,0,254.02,0.0299,-0.594,0
110,0.0004000000000000002,0.008,99,0,258.15,0.031,-0.568,0
