step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,50,0,0.0,400000.0,0.03,0
1,0.0004,0.0008,50,0,6.97,0.1147,0.053,0
2,0.0,0.0008,50,0,13.82,0.0579,0.036,0
3,0.0,0.0008,49,0,20.6,0.0388,0.019,0
4,0.00039999999999999986,0.0012,49,0,27.27,0.044,0.043,0
5,0.0,0.0012,49,0,33.87,0.0354,0.026,0
6,0.0,0.0012,48,0,40.31,0.0298,0.01,0
7,0.0,0.0012,48,0,40.31,0.0298,-0.0,0
8,0.0,0.0012,48,0,45.89,0.0261,-0.016,0
9,0.0004000000000000002,0.0016,48,0,50.96,0.0314,0.009,0
10,0.0,0.0016,48,0,55.33,0.0289,-0.005,0
11,0.0,0.0016,48,0,58.88,0.0272,-0.019,0
12,0.0,0.0016,48,0,61.67,0.0259,-0.032,0
13,0.0,0.0016,48,0,63.79,0.0251,-0.044,0
14,0.0,0.0016,48,0,65.78,0.0243,-0.056,0
15,0.00039999999999999996,0.002,48,0,67.78,0.0295,-0.028,0
16,0.0,0.002,48,0,69.78,0.0287,-0.04,0
17,0.0,0.002,48,0,71.77,0.0279,-0.052,0
18,0.0,0.002,48,0,73.77,0.0271,-0.064,0
19,0.0,0.002,48,0,75.76,0.0264,-0.076,0
20,0.0,0.002,48,0,77.76,0.0257,-0.088,0
21,0.00039999999999999975,0.0024,48,0,79.75,0.0301,-0.06,0
22,0.0,0.0024,48,0,81.75,0.0294,-0.072,0
23,0.0,0.0024,48,0,83.74,0.0287,-0.084,0
24,0.0,0.0024,48,0,85.74,0.028,-0.096,0
25,0.0,0.0024,48,0,87.73,0.0274,-0.108,0
26,0.0,0.0024,48,0,89.73,0.0267,-0.12,0
27,0.0,0.0024,48,0,91.72,0.0262,-0.132,0
28,0.0,0.0024,48,0,93.72,0.0256,-0.144,0
29,0.0,0.0024,48,0,95.71,0.0251,-0.156,0
30,0.0,0.0024,48,0,97.71,0.0246,-0.168,0
31,0.0,0.0024,48,0,99.71,0.0241,-0.18,0
32,0.0004000000000000002,0.0028,48,0,101.7,0.0275,-0.152,0
33,0.0,0.0028,48,0,103.7,0.027,-0.164,0
34,0.0,0.0028,48,0,105.69,0.0265,-0.176,0
35,0.0,0.0028,48,0,107.69,0.026,-0.188,0
36,0.0,0.0028,48,0,109.68,0.0255,-0.2,0
37,0.0,0.0028,48,0,111.68,0.0251,-0.212,0
38,0.0,0.0028,48,0,113.67,0.0246,-0.224,0
39,0.0,0.0028,48,0,115.67,0.0242,-0.236,0
40,0.0,0.0028,48,0,117.66,0.0238,-0.248,0
41,0.0,0.0028,48,0,119.66,0.0234,-0.26,0
42,0.0004000000000000002,0.0032,48,0,121.65,0.0263,-0.232,0
43,0.0,0.0032,48,0,123.65,0.0259,-0.244,0
44,0.0,0.0032,48,0,125.64,0.0255,-0.256,0
45,0.0,0.0032,48,0,127.64,0.0251,-0.268,0
46,0.0,0.0032,48,0,129.63,0.0247,-0.28,0
47,0.0,0.0032,48,0,131.63,0.0243,-0.292,0
48,0.0,0.0032,48,0,133.62,0.0239,-0.304,0
49,0.0,0.0032,48,0,135.62,0.0236,-0.316,0
50,0.0,0.0032,48,0,137.61,0.0233,-0.328,0
51,0.0,0.0032,48,0,139.61,0.0229,-0.34,0
52,0.00039999999999999975,0.0036,48,0,141.6,0.0254,-0.312,0
53,0.0,0.0036,48,0,143.6,0.0251,-0.324,0
54,0.0,0.0036,48,0,145.59,0.0247,-0.336,0
55,0.0,0.0036,48,0,147.59,0.0244,-0.348,0
56,0.0,0.0036,48,0,149.58,0.0241,-0.36,0
57,0.0004000000000000002,0.004,48,0,151.58,0.0264,-0.332,0
58,0.0,0.004,48,0,153.57,0.026,-0.344,0
59,0.0,0.004,48,0,155.57,0.0257,-0.356,0
60,0.0,0.004,48,0,157.56,0.0254,-0.368,0
61,0.0,0.004,48,0,159.56,0.0251,-0.38,0
62,0.0,0.004,48,0,161.55,0.0248,-0.392,0
63,0.0004000000000000002,0.0044,48,0,163.55,0.0269,-0.364,0
64,0.0,0.0044,48,0,165.55,0.0266,-0.376,0
65,0.0,0.0044,48,0,167.54,0.0263,-0.388,0
66,0.0,0.0044,48,0,169.54,0.026,-0.4,0
67,0.0,0.0044,48,0,171.53,0.0257,-0.412,0
68,0.0,0.0044,48,0,173.53,0.0254,-0.424,0
69,0.0,0.0044,48,0,175.52,0.0251,-0.436,0
70,0.0,0.0044,48,0,177.52,0.0248,-0.448,0
71,0.0,0.0044,48,0,177.52,0.0248,-0.458,0
72,0.0003999999999999993,0.0048,48,0,183.78,0.0261,-0.434,0
73,0.0,0.0048,48,0,189.54,0.0253,-0.45,0
74,0.0,0.0048,48,0,195.85,0.0245,-0.466,0
75,0.0,0.0048,48,0,201.85,0.0238,-0.482,0
76,0.0004000000000000002,0.0052,48,0,207.33,0.0251,-0.457,0
77,0.0,0.0052,48,0,213.25,0.0244,-0.473,0
78,0.0004000000000000002,0.0056,48,0,218.79,0.0256,-0.449,0
79,0.0004000000000000002,0.006,48,0,225.14,0.0266,-0.425,0
80,0.0,0.006,48,0,231.07,0.026,-0.441,0
81,0.0,0.006,48,0,236.39,0.0254,-0.456,0
82,0.0,0.006,48,0,241.21,0.0249,-0.471,0
83,0.0004000000000000002,0.0064,48,0,245.42,0.0261,-0.445,0
84,0.0,0.0064,48,0,248.96,0.0257,-0.459,0
85,0.0,0.0064,48,0,251.84,0.0254,-0.472,0
86,0.0,0.0064,48,0,254.11,0.0252,-0.484,0
87,0.0,0.0064,48,0,257.31,0.0249,-0.497,0
88,0.0,0.0064,48,0,260.0,0.0246,-0.51,0
89,0.0003999999999999993,0.0068,48,0,262.18,0.0259,-0.482,0
90,0.0,0.0068,48,0,264.18,0.0257,-0.494,0
91,0.0,0.0068,48,0,266.17,0.0255,-0.506,0
92,0.0,0.0068,48,0,268.17,0.0254,-0.518,0
93,0.0,0.0068,48,0,270.16,0.0252,-0.53,0
94,0.0,0.0068,48,0,272.16,0.025,-0.542,0
95,0.0,0.0068,48,0,274.15,0.0248,-0.554,0
96,0.0,0.0068,48,0,276.15,0.0246,-0.566,0
97,0.0,0.0068,48,0,278.14,0.0244,-0.578,0
98,0.0,0.0068,48,0,280.14,0.0243,-0.59,0
99,0.0,0.0068,48,0,282.13,0.0241,-0.602,0
100,0.0,0.0068,48,0,284.13,0.0239,-0.614,0
101,0.0004000000000000002,0.0072,48,0,286.13,0.0252,-0.586,0
102,0.0,0.0072,48,0,288.12,0.025,-0.598,0
103,0.0,0.0072,48,0,291.4,0.0247,-0.611,0
104,0.0,0.0072,48,0,293.89,0.0245,-0.624,0
105,0.0,0.0072,48,0,295.89,0.0243,-0.636,0
106,0.0,0.0072,48,0,297.88,0.0242,-0.648,0
107,0.0,0.0072,48,0,299.88,0.024,-0.66,0
108,0.0,0.0072,48,0,301.88,0.0239,-0.672,0
109,0.0,0.0072,48,0,303.87,0.0237,-0.684,0
110,0.0,0.0072,48,0,305.87,0.0235,-0.696,0
111,0.0,0.0072,48,0,307.86,0.0234,-0.708,0
112,0.0004000000000000002,0.0076,48,0,309.86,0.0245,-0.68,0
113,0.0,0.0076,48,0,311.85,0.0244,-0.692,0
114,0.0,0.0076,48,0,313.85,0.0242,-0.704,0
115,0.0,0.0076,48,0,315.84,0.0241,-0.716,0
116,0.0,0.0076,48,0,317.84,0.0239,-0.728,0
117,0.0,0.0076,48,0,319.83,0.0238,-0.74,0
118,0.0,0.0076,48,0,321.83,0.0236,-0.752,0
119,0.0,0.0076,48,0,323.82,0.0235,-0.764,0
120,0.0,0.0076,48,0,325.82,0.0233,-0.776,0
121,0.0,0.0076,48,0,327.81,0.0232,-0.788,0
122,0.0004000000000000002,0.008,48,0,329.81,0.0243,-0.76,0
123,0.0,0.008,48,0,331.8,0.0241,-0.772,0
124,0.0,0.008,48,0,333.8,0.024,-0.784,0
125,0.0,0.008,48,0,335.79,0.0238,-0.796,0
126,0.0,0.008,48,0,337.79,0.0237,-0.808,0
127,0.0003999999999999993,0.0084,48,0,339.78,0.0247,-0.78,0
128,0.0,0.0084,48,0,341.78,0.0246,-0.792,0
129,0.0,0.0084,48,0,343.77,0.0244,-0.804,0
130,0.0,0.0084,48,0,345.77,0.0243,-0.816,0
131,0.0,0.0084,48,0,347.76,0.0242,-0.828,0
132,0.0,0.0084,48,0,349.76,0.024,-0.84,0
133,0.00040000000000000105,0.0088,48,0,351.75,0.025,-0.812,0
134,0.0,0.0088,48,0,353.75,0.0249,-0.824,0
135,0.0,0.0088,48,0,355.75,0.0247,-0.836,0
136,0.0,0.0088,48,0,357.74,0.0246,-0.848,0
137,0.0,0.0088,48,0,359.74,0.0245,-0.86,0
138,0.0,0.0088,48,0,361.73,0.0243,-0.872,0
139,0.0,0.0088,48,0,363.73,0.0242,-0.884,0
140,0.0,0.0088,48,0,365.72,0.0241,-0.896,0
141,0.0,0.0088,48,0,367.72,0.0239,-0.908,0
142,0.0,0.0088,48,0,369.71,0.0238,-0.92,0
143,0.0003999999999999993,0.0092,48,0,371.71,0.0248,-0.892,0
144,0.0,0.0092,48,0,373.7,0.0246,-0.904,0
145,0.0003999999999999993,0.0096,48,0,375.7,0.0256,-0.876,0
146,0.0,0.0096,48,0,377.69,0.0254,-0.888,0
147,0.0,0.0096,48,0,379.69,0.0253,-0.9,0
148,0.0,0.0096,48,0,381.68,0.0252,-0.912,0
149,0.0,0.0096,48,0,383.68,0.025,-0.924,0
150,0.0,0.0096,48,0,385.67,0.0249,-0.936,0
151,0.0,0.0096,48,0,385.67,0.0249,-0.946,0
152,0.0,0.0096,48,0,387.96,0.0247,-0.958,0
153,0.0,0.0096,48,0,389.95,0.0246,-0.97,0
154,0.0,0.0096,48,0,391.95,0.0245,-0.982,0
155,0.0,0.0096,48,0,393.94,0.0244,-0.994,0
156,0.00040000000000000105,0.01,48,0,395.94,0.0253,-0.966,0
157,0.0,0.01,48,0,397.93,0.0251,-0.978,0
158,0.0,0.01,48,0,399.93,0.025,-0.99,0
159,0.0,0.01,48,0,402.17,0.0249,-1.002,0
160,0.0,0.01,48,0,404.17,0.0247,-1.014,0
161,0.0,0.01,48,0,406.16,0.0246,-1.026,0
162,0.0003999999999999993,0.0104,48,0,408.16,0.0255,-0.998,0
163,0.0,0.0104,48,0,410.15,0.0254,-1.01,0
164,0.0,0.0104,48,0,412.15,0.0252,-1.022,0
165,0.0,0.0104,48,0,414.14,0.0251,-1.034,0
166,0.0,0.0104,48,0,416.14,0.025,-1.046,0
167,0.0,0.0104,48,0,416.14,0.025,-1.056,0
168,0.0,0.0104,48,0,421.97,0.0246,-1.072,0
169,0.00040000000000000105,0.0108,48,0,427.39,0.0253,-1.047,0
170,0.0,0.0108,47,0,432.19,0.025,-1.062,0
171,0.0,0.0108,47,0,436.2,0.0248,-1.076,0
172,0.0,0.0108,47,0,439.36,0.0246,-1.089,0
173,0.0,0.0108,47,0,441.78,0.0244,-1.102,0
174,0.0,0.0108,47,0,443.78,0.0243,-1.114,0
175,0.0003999999999999993,0.0112,47,0,449.62,0.0249,-1.09,0
176,0.0,0.0112,47,0,453.59,0.0247,-1.104,0
177,0.0,0.0112,47,0,457.07,0.0245,-1.117,0
178,0.0,0.0112,47,0,460.05,0.0243,-1.13,0
179,0.0003999999999999993,0.0116,47,0,462.55,0.0251,-1.103,0
180,0.0,0.0116,47,0,464.56,0.025,-1.115,0
181,0.0,0.0116,47,0,466.56,0.0249,-1.127,0
182,0.0,0.0116,47,0,468.56,0.0248,-1.139,0
183,0.0,0.0116,47,0,470.55,0.0247,-1.151,0
184,0.0,0.0116,47,0,472.55,0.0245,-1.163,0
185,0.0,0.0116,47,0,474.54,0.0244,-1.175,0
186,0.0,0.0116,47,0,476.54,0.0243,-1.187,0
187,0.0,0.0116,47,0,478.53,0.0242,-1.199,0
188,0.0,0.0116,47,0,480.53,0.0241,-1.211,0
189,0.00040000000000000105,0.012,47,0,482.52,0.0249,-1.183,0
190,0.0,0.012,47,0,484.52,0.0248,-1.195,0
191,0.0,0.012,47,0,486.51,0.0247,-1.207,0
192,0.0,0.012,47,0,488.51,0.0246,-1.219,0
193,0.0,0.012,47,0,490.5,0.0245,-1.231,0
194,0.0,0.012,47,0,492.5,0.0244,-1.242,0
195,0.0,0.012,47,0,494.49,0.0243,-1.254,0
196,0.0003999999999999993,0.0124,47,0,496.49,0.025,-1.226,0
197,0.0,0.0124,47,0,498.48,0.0249,-1.238,0
198,0.0,0.0124,47,0,500.48,0.0248,-1.25,0
199,0.0,0.0124,47,0,502.47,0.0247,-1.262,0
200,0.00040000000000000105,0.0128,47,0,504.47,0.0254,-1.234,0
201,0.0,0.0128,47,0,506.47,0.0253,-1.246,0
202,0.0,0.0128,47,0,508.46,0.0252,-1.258,0
203,0.0,0.0128,47,0,510.46,0.0251,-1.27,0
204,0.0,0.0128,47,0,512.45,0.025,-1.282,0
205,0.0,0.0128,47,0,514.45,0.0249,-1.294,0
206,0.0,0.0128,47,0,516.44,0.0248,-1.306,0
207,0.0,0.0128,47,0,518.44,0.0247,-1.318,0
208,0.0,0.0128,47,0,520.43,0.0246,-1.33,0
209,0.0003999999999999993,0.0132,47,0,522.43,0.0253,-1.302,0
210,0.0003999999999999993,0.0136,47,0,524.42,0.0259,-1.274,0
211,0.0,0.0136,47,0,526.42,0.0258,-1.286,0
212,0.0,0.0136,47,0,528.41,0.0257,-1.298,0
213,0.0,0.0136,47,0,530.41,0.0256,-1.31,0
214,0.0,0.0136,47,0,532.4,0.0255,-1.322,0
215,0.0,0.0136,47,0,534.4,0.0254,-1.334,0
216,0.0,0.0136,47,0,536.4,0.0254,-1.346,0
217,0.0,0.0136,47,0,538.39,0.0253,-1.358,0
218,0.0,0.0136,47,0,540.39,0.0252,-1.37,0
219,0.0,0.0136,47,0,542.38,0.0251,-1.382,0
220,0.00040000000000000105,0.014,47,0,544.38,0.0257,-1.354,0
221,0.0,0.014,47,0,546.37,0.0256,-1.366,0
222,0.0,0.014,47,0,548.37,0.0255,-1.378,0
223,0.0003999999999999993,0.0144,47,0,550.36,0.0262,-1.35,0
224,0.0,0.0144,47,0,552.36,0.0261,-1.362,0
225,0.0,0.0144,47,0,554.35,0.026,-1.374,0
226,0.0,0.0144,47,0,556.35,0.0259,-1.386,0
227,0.0,0.0144,47,0,558.34,0.0258,-1.398,0
228,0.0,0.0144,47,0,560.34,0.0257,-1.41,0
229,0.0,0.0144,47,0,562.33,0.0256,-1.422,0
230,0.0,0.0144,47,0,564.33,0.0255,-1.434,0
231,0.0,0.0144,47,0,566.33,0.0254,-1.446,0
232,0.00040000000000000105,0.0148,47,0,568.32,0.026,-1.418,0
