step,reward,coverage,remaining_dirt,collisions,total_distance,path_efficiency,performance_score,success
0,0.0004,0.0004,50,0,5.0,0.08,0.025,0
1,0.0,0.0004,50,0,10.0,0.04,0.01,0
2,0.0,0.0004,50,0,15.0,0.0267,-0.005,0
3,0.0,0.0004,50,0,20.0,0.02,-0.02,0
4,0.0004,0.0008,50,0,25.0,0.032,0.005,0
5,0.0,0.0008,50,0,30.0,0.0267,-0.01,0
6,0.00039999999999999986,0.0012,50,0,35.0,0.0343,0.015,0
7,0.0,0.0012,50,0,40.0,0.03,-0.0,0
8,0.0,0.0012,50,0,45.0,0.0267,-0.015,0
9,0.0004000000000000002,0.0016,50,0,50.0,0.032,0.01,0
10,0.0,0.0016,50,0,55.0,0.0291,-0.005,0
11,0.0,0.0016,50,0,60.0,0.0267,-0.02,0
12,0.0,0.0016,50,0,65.0,0.0246,-0.035,0
13,0.00039999999999999996,0.002,50,0,70.0,0.0286,-0.01,0
14,0.00039999999999999975,0.0024,50,0,75.0,0.032,0.015,0
15,0.0,0.0024,50,0,80.0,0.03,-0.0,0
16,0.0,0.0024,50,0,85.0,0.0282,-0.015,0
17,0.0,0.0024,50,0,90.0,0.0267,-0.03,0
18,0.0,0.0024,50,0,95.0,0.0253,-0.045,0
19,0.0004000000000000002,0.0028,50,0,100.0,0.028,-0.02,0
20,0.0,0.0028,50,0,105.0,0.0267,-0.035,0
21,0.0,0.0028,50,0,110.0,0.0255,-0.05,0
22,0.0,0.0028,50,0,115.0,0.0243,-0.065,0
23,0.0,0.0028,50,0,120.0,0.0233,-0.08,0
24,0.0,0.0028,50,0,125.0,0.0224,-0.095,0
25,0.0004000000000000002,0.0032,50,0,130.0,0.0246,-0.07,0
26,0.00039999999999999975,0.0036,50,0,135.0,0.0267,-0.045,0
27,0.0,0.0036,50,0,140.0,0.0257,-0.06,0
28,0.0,0.0036,49,0,145.0,0.0248,-0.075,0
29,0.0,0.0036,49,0,150.0,0.024,-0.09,0
30,0.0004000000000000002,0.004,49,0,155.0,0.0258,-0.065,0
31,0.0,0.004,49,0,160.0,0.025,-0.08,0
32,0.0004000000000000002,0.0044,49,0,165.0,0.0267,-0.055,0
33,0.0,0.0044,49,0,170.0,0.0259,-0.07,0
34,0.0,0.0044,48,0,175.0,0.0251,-0.085,0
35,0.0003999999999999993,0.0048,48,0,180.0,0.0267,-0.06,0
36,0.0,0.0048,48,0,185.0,0.0259,-0.075,0
37,0.0,0.0048,48,0,190.0,0.0253,-0.09,0
38,0.0,0.0048,48,0,195.0,0.0246,-0.105,0
39,0.0004000000000000002,0.0052,48,0,200.0,0.026,-0.08,0
40,0.0004000000000000002,0.0056,48,0,205.0,0.0273,-0.055,0
41,0.0,0.0056,48,0,210.0,0.0267,-0.07,0
42,0.0,0.0056,48,0,215.0,0.026,-0.085,0
43,0.0,0.0056,48,0,220.0,0.0255,-0.1,0
44,0.0,0.0056,47,0,225.0,0.0249,-0.115,0
45,0.0004000000000000002,0.006,47,0,230.0,0.0261,-0.09,0
46,0.0,0.006,47,0,235.0,0.0255,-0.105,0
47,0.0,0.006,47,0,240.0,0.025,-0.12,0
48,0.0,0.006,47,0,245.0,0.0245,-0.135,0
49,0.0,0.006,47,0,250.0,0.024,-0.15,0
50,0.0004000000000000002,0.0064,47,0,255.0,0.0251,-0.125,0
51,0.0,0.0064,47,0,260.0,0.0246,-0.14,0
52,0.0003999999999999993,0.0068,47,0,265.0,0.0257,-0.115,0
53,0.0,0.0068,46,0,270.0,0.0252,-0.13,0
54,0.0,0.0068,46,0,275.0,0.0247,-0.145,0
55,0.0004000000000000002,0.0072,46,0,280.0,0.0257,-0.12,0
56,0.0,0.0072,46,0,285.0,0.0253,-0.135,0
57,0.0,0.0072,46,0,290.0,0.0248,-0.15,0
58,0.0004000000000000002,0.0076,46,0,295.0,0.0258,-0.125,0
59,0.0,0.0076,46,0,300.0,0.0253,-0.14,0
60,0.0004000000000000002,0.008,46,0,305.0,0.0262,-0.115,0
61,0.0,0.008,46,0,310.0,0.0258,-0.13,0
62,0.0,0.008,46,0,315.0,0.0254,-0.145,0
