exp_id,algorithm,num_bots,num_dirt,seed,max_steps,num_dynamic_obstacles,sensor_noise,execution_noise,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,dynamic_collisions,robot_collisions,total_distance,path_efficiency,performance_score,success
random_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,random,1,50,0,1500,0,0.0,0.0,1500,True,1.3683,2026-04-14 19:42:21,0.14,43,0,0,0,5760.64,0.0243,-6.761,0
random_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,random,1,50,1,1500,0,0.0,0.0,1500,True,1.3797,2026-04-14 19:42:23,0.14,43,1,0,0,5743.96,0.0244,-8.744,0
random_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,random,1,100,0,1500,0,0.0,0.0,1500,True,1.6438,2026-04-14 19:42:25,0.22,78,5,0,0,5743.47,0.0383,-8.743,0
random_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,random,1,100,1,1500,0,0.0,0.0,1500,True,1.7385,2026-04-14 19:42:26,0.12,88,1,0,0,5393.73,0.0222,-10.394,0
astar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,astar,1,50,0,1500,0,0.0,0.0,1500,True,1.9285,2026-04-14 19:42:28,0.08,46,0,0,0,5398.59,0.0148,-12.399,0
astar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,astar,1,50,1,1500,0,0.0,0.0,1500,True,1.9144,2026-04-14 19:42:30,0.04,48,0,0,0,3600.73,0.0111,-14.601,0
astar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,astar,1,100,0,1500,0,0.0,0.0,1500,True,3.37,2026-04-14 19:42:34,0.15,85,2,0,0,6357.14,0.0236,-10.357,0
astar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,astar,1,100,1,1500,0,0.0,0.0,1500,True,3.1101,2026-04-14 19:42:37,0.07,93,0,0,0,5148.81,0.0136,-13.149,0
dstar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,dstar,1,50,0,1500,0,0.0,0.0,1500,True,2.9786,2026-04-14 19:42:40,0.04,48,1,0,0,210.6,0.1899,-13.211,0
dstar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,dstar,1,50,1,1500,0,0.0,0.0,1500,True,2.0852,2026-04-14 19:42:42,0.0,50,0,0,0,3049.19,0.0,-18.049,0
dstar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,dstar,1,100,0,1500,0,0.0,0.0,1500,True,3.5967,2026-04-14 19:42:46,0.03,97,0,0,0,5181.91,0.0058,-17.182,0
dstar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,dstar,1,100,1,1500,0,0.0,0.0,1500,True,3.6539,2026-04-14 19:42:50,0.12,88,0,0,0,4789.59,0.0251,-7.79,0
