exp_id,algorithm,num_bots,num_dirt,seed,max_steps,num_dynamic_obstacles,sensor_noise,execution_noise,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,dynamic_collisions,robot_collisions,total_distance,path_efficiency,performance_score,success
random_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,random,1,50,0,1500,0,0.0,0.0,1500,True,1.2593,2026-04-14 19:46:50,0.14,43,0,0,0,5760.64,0.0243,-6.761,0
random_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,random,1,50,1,1500,0,0.0,0.0,1500,True,1.4048,2026-04-14 19:46:52,0.14,43,1,0,0,5743.96,0.0244,-8.744,0
random_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,random,1,100,0,1500,0,0.0,0.0,1500,True,1.5454,2026-04-14 19:46:53,0.22,78,5,0,0,5743.47,0.0383,-8.743,0
random_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,random,1,100,1,1500,0,0.0,0.0,1500,True,1.6825,2026-04-14 19:46:55,0.12,88,1,0,0,5393.73,0.0222,-10.394,0
astar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,astar,1,50,0,1500,0,0.0,0.0,1500,True,1.8672,2026-04-14 19:46:57,0.06,47,1,0,0,6106.02,0.0098,-17.106,0
astar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,astar,1,50,1,1500,0,0.0,0.0,1500,True,1.5206,2026-04-14 19:46:59,0.04,48,0,0,0,3600.73,0.0111,-14.601,0
astar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,astar,1,100,0,1500,0,0.0,0.0,1500,True,1.5974,2026-04-14 19:47:00,0.03,97,0,0,0,5102.99,0.0059,-17.103,0
astar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,astar,1,100,1,1500,0,0.0,0.0,1500,True,2.6341,2026-04-14 19:47:03,0.1,90,0,0,0,5120.79,0.0195,-10.121,0
dstar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,dstar,1,50,0,1500,0,0.0,0.0,1500,True,2.0709,2026-04-14 19:47:05,0.1,45,2,0,0,2482.27,0.0403,-11.482,0
dstar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,dstar,1,50,1,1500,0,0.0,0.0,1500,True,2.1924,2026-04-14 19:47:08,0.06,47,0,0,0,3749.52,0.016,-12.75,0
dstar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,dstar,1,100,0,1500,0,0.0,0.0,1500,True,2.1764,2026-04-14 19:47:10,0.02,98,0,0,0,5076.13,0.0039,-18.076,0
dstar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,dstar,1,100,1,1500,0,0.0,0.0,1500,True,2.5462,2026-04-14 19:47:13,0.1,90,1,0,0,5239.57,0.0191,-12.24,0
