exp_id,algorithm,num_bots,num_dirt,seed,max_steps,num_dynamic_obstacles,sensor_noise,execution_noise,total_steps,completed,runtime_seconds,timestamp,coverage,remaining_dirt,collisions,dynamic_collisions,robot_collisions,total_distance,path_efficiency,performance_score,success
random_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,random,1,50,0,1500,0,0.0,0.0,1500,True,1.1373,2026-04-14 19:37:18,0.14,43,0,0,0,5760.64,0.0243,-6.761,0
random_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,random,1,50,1,1500,0,0.0,0.0,1500,True,1.4614,2026-04-14 19:37:20,0.14,43,1,0,0,5743.96,0.0244,-8.744,0
random_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,random,1,100,0,1500,0,0.0,0.0,1500,True,1.5399,2026-04-14 19:37:21,0.22,78,5,0,0,5743.47,0.0383,-8.743,0
random_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,random,1,100,1,1500,0,0.0,0.0,1500,True,1.6684,2026-04-14 19:37:23,0.12,88,1,0,0,5393.73,0.0222,-10.394,0
astar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,astar,1,50,0,1500,0,0.0,0.0,1500,True,4.6313,2026-04-14 19:37:28,0.08,46,1,0,0,6398.66,0.0125,-15.399,0
astar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,astar,1,50,1,1500,0,0.0,0.0,1500,True,4.2368,2026-04-14 19:37:32,0.1,45,0,0,0,6030.76,0.0166,-11.031,0
astar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,astar,1,100,0,1500,0,0.0,0.0,1500,True,10.1635,2026-04-14 19:37:42,0.09,91,0,0,0,5759.45,0.0156,-11.759,0
astar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,astar,1,100,1,1500,0,0.0,0.0,1500,True,10.4588,2026-04-14 19:37:53,0.07,93,0,0,0,6138.34,0.0114,-14.138,0
dstar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed0,dstar,1,50,0,1500,0,0.0,0.0,1500,True,5.2686,2026-04-14 19:37:58,0.1,45,2,0,0,5930.43,0.0169,-14.93,0
dstar_bots1_dirt50_dyn0_snoise0p0_enoise0p0_seed1,dstar,1,50,1,1500,0,0.0,0.0,1500,True,4.3704,2026-04-14 19:38:03,0.14,43,2,0,0,3585.19,0.039,-8.585,0
dstar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed0,dstar,1,100,0,1500,0,0.0,0.0,1500,True,10.8485,2026-04-14 19:38:14,0.05,95,0,0,0,5547.58,0.009,-15.548,0
dstar_bots1_dirt100_dyn0_snoise0p0_enoise0p0_seed1,dstar,1,100,1,1500,0,0.0,0.0,1500,True,10.9351,2026-04-14 19:38:25,0.1,90,0,0,0,4961.58,0.0202,-9.962,0
