phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P2_single_agent,planning_single,20000,planning,none,1,0,1,0,250,0.0,0,0,1136.56,0.0,0.3276221752166748
P2_single_agent,planning_single,20001,planning,none,1,0,1,0,250,0.0667,0,0,1184.15,0.0563,0.5231130123138428
P2_single_agent,planning_single,20002,planning,none,1,0,1,0,250,0.0167,0,0,1141.3,0.0146,0.480243444442749
P2_single_agent,reactive_single,20000,reactive,none,1,0,1,0,250,0.05,5,0,1295.5,0.0386,0.35259199142456055
P2_single_agent,reactive_single,20001,reactive,none,1,0,1,0,250,0.05,0,0,1219.38,0.041,0.2555525302886963
P2_single_agent,reactive_single,20002,reactive,none,1,0,1,0,250,0.05,1,0,1251.93,0.0399,0.27427101135253906
P3_multi_agent,bots1_none,30100,planning,none,1,low,1,0,250,0.0,0,0,162.5,0.0,2.7104275226593018
P3_multi_agent,bots1_none,30101,planning,none,1,low,1,0,250,0.01,0,0,162.23,0.0616,2.603929042816162
P3_multi_agent,bots1_none,30102,planning,none,1,low,1,0,250,0.0,0,0,157.12,0.0,2.850614547729492
P3_multi_agent,bots2_none,30200,planning,none,2,low,1,0,250,0.02,0,0,411.9,0.0486,5.069278717041016
P3_multi_agent,bots2_none,30201,planning,none,2,low,1,0,250,0.01,48,11,338.21,0.0296,5.1206748485565186
P3_multi_agent,bots2_none,30202,planning,none,2,low,1,0,250,0.03,0,0,435.55,0.0689,5.433752059936523
P3_multi_agent,bots2_basic,30200,planning,basic,2,low,1,0,250,0.02,0,0,365.18,0.0548,3.3134427070617676
P3_multi_agent,bots2_basic,30201,planning,basic,2,low,1,0,250,0.01,28,6,314.04,0.0318,3.522542953491211
P3_multi_agent,bots2_basic,30202,planning,basic,2,low,1,0,250,0.03,0,0,440.03,0.0682,3.3290956020355225
P3_multi_agent,bots2_enhanced,30200,planning,enhanced,2,low,1,0,250,0.01,0,0,357.91,0.0279,3.6502325534820557
P3_multi_agent,bots2_enhanced,30201,planning,enhanced,2,low,1,0,250,0.01,14,4,384.58,0.026,4.122513771057129
P3_multi_agent,bots2_enhanced,30202,planning,enhanced,2,low,1,0,250,0.05,0,0,567.37,0.0881,3.4214730262756348
P3_multi_agent,bots3_none,30300,planning,none,3,low,1,0,250,0.04,63,14,602.41,0.0664,7.386414051055908
P3_multi_agent,bots3_none,30301,planning,none,3,low,1,0,250,0.04,1,0,598.53,0.0668,7.203962564468384
P3_multi_agent,bots3_none,30302,planning,none,3,low,1,0,250,0.03,3,0,533.63,0.0562,7.078301429748535
P3_multi_agent,bots3_basic,30300,planning,basic,3,low,1,0,250,0.03,30,7,511.22,0.0587,6.7076568603515625
P3_multi_agent,bots3_basic,30301,planning,basic,3,low,1,0,250,0.03,1,0,505.0,0.0594,7.3006956577301025
P3_multi_agent,bots3_basic,30302,planning,basic,3,low,1,0,250,0.03,0,0,595.25,0.0504,4.24112868309021
P3_multi_agent,bots3_enhanced,30300,planning,enhanced,3,low,1,0,250,0.03,0,0,512.74,0.0585,4.882786750793457
P3_multi_agent,bots3_enhanced,30301,planning,enhanced,3,low,1,0,250,0.03,4,0,490.11,0.0612,7.875387907028198
P3_multi_agent,bots3_enhanced,30302,planning,enhanced,3,low,1,0,250,0.02,0,0,559.57,0.0357,4.774662017822266
P3_multi_agent,bots5_none,30500,planning,none,5,low,1,0,250,0.03,77,17,772.46,0.0388,12.004341125488281
P3_multi_agent,bots5_none,30501,planning,none,5,low,1,0,250,0.05,0,0,963.57,0.0519,11.816071510314941
P3_multi_agent,bots5_none,30502,planning,none,5,low,1,0,250,0.05,1,1,983.91,0.0508,11.507731437683105
P3_multi_agent,bots5_basic,30500,planning,basic,5,low,1,0,250,0.02,109,23,782.47,0.0256,6.553277015686035
P3_multi_agent,bots5_basic,30501,planning,basic,5,low,1,0,250,0.01,0,0,969.94,0.0103,6.321831941604614
P3_multi_agent,bots5_basic,30502,planning,basic,5,low,1,0,250,0.06,25,5,922.3,0.0651,6.037012815475464
P3_multi_agent,bots5_enhanced,30500,planning,enhanced,5,low,1,0,250,0.01,55,12,932.8,0.0107,7.210726737976074
P3_multi_agent,bots5_enhanced,30501,planning,enhanced,5,low,1,0,250,0.04,7,2,1117.25,0.0358,6.324436902999878
P3_multi_agent,bots5_enhanced,30502,planning,enhanced,5,low,1,0,250,0.06,22,6,1315.93,0.0456,6.145791053771973
P4_noise_robustness,planning_0,40000,planning,none,3,0,1,0,250,0.0556,24,5,636.77,0.0872,5.878461837768555
P4_noise_robustness,planning_0,40001,planning,none,3,0,1,0,250,0.0222,41,9,497.03,0.0447,6.148259878158569
P4_noise_robustness,planning_0,40002,planning,none,3,0,1,0,250,0.0333,0,0,504.58,0.0661,6.135678052902222
P4_noise_robustness,planning_low,40000,planning,none,3,low,1,0,250,0.0556,26,6,651.65,0.0853,6.043156623840332
P4_noise_robustness,planning_low,40001,planning,none,3,low,1,0,250,0.0111,36,8,487.3,0.0228,6.2156548500061035
P4_noise_robustness,planning_low,40002,planning,none,3,low,1,0,250,0.0222,0,0,506.97,0.0438,6.088326454162598
P4_noise_robustness,planning_mid,40000,planning,none,3,mid,1,0,250,0.0778,25,5,736.1,0.1057,6.150503158569336
P4_noise_robustness,planning_mid,40001,planning,none,3,mid,1,0,250,0.0556,42,9,545.81,0.1018,6.31979513168335
P4_noise_robustness,planning_mid,40002,planning,none,3,mid,1,0,250,0.0333,0,0,494.0,0.0675,6.2747642993927
P4_noise_robustness,planning_high,40000,planning,none,3,high,1,0,250,0.0667,28,7,680.82,0.0979,10.450281143188477
P4_noise_robustness,planning_high,40001,planning,none,3,high,1,0,250,0.0333,43,10,540.4,0.0617,9.858240604400635
P4_noise_robustness,planning_high,40002,planning,none,3,high,1,0,250,0.0222,0,0,555.72,0.04,6.11827540397644
P4_noise_robustness,reactive_0,45000,reactive,none,3,0,1,0,250,0.1556,9,1,3538.89,0.044,0.7410917282104492
P4_noise_robustness,reactive_0,45001,reactive,none,3,0,1,0,250,0.1444,6,1,3746.28,0.0386,0.8132450580596924
P4_noise_robustness,reactive_0,45002,reactive,none,3,0,1,0,250,0.1778,7,1,3507.09,0.0507,0.7605042457580566
P4_noise_robustness,reactive_low,45000,reactive,none,3,low,1,0,250,0.0778,3,0,3590.78,0.0217,0.7321517467498779
P4_noise_robustness,reactive_low,45001,reactive,none,3,low,1,0,250,0.1222,12,1,3567.63,0.0343,0.7378017902374268
P4_noise_robustness,reactive_low,45002,reactive,none,3,low,1,0,250,0.2222,2,0,3667.2,0.0606,0.7540063858032227
P4_noise_robustness,reactive_mid,45000,reactive,none,3,mid,1,0,250,0.1,5,1,3713.35,0.0269,0.7464087009429932
P4_noise_robustness,reactive_mid,45001,reactive,none,3,mid,1,0,250,0.1333,5,1,3797.17,0.0351,0.8045563697814941
P4_noise_robustness,reactive_mid,45002,reactive,none,3,mid,1,0,250,0.0778,6,0,3656.54,0.0213,0.7407853603363037
P4_noise_robustness,reactive_high,45000,reactive,none,3,high,1,0,250,0.0778,3,0,3790.62,0.0205,0.6858928203582764
P4_noise_robustness,reactive_high,45001,reactive,none,3,high,1,0,250,0.1889,10,2,3685.92,0.0512,0.7610430717468262
P4_noise_robustness,reactive_high,45002,reactive,none,3,high,1,0,250,0.1778,4,0,3701.22,0.048,0.7231149673461914
P5_full_matrix,planning_bots1_0_none,51000,planning,none,1,0,1,0,250,0.0182,0,0,161.42,0.1126,3.001129388809204
P5_full_matrix,planning_bots1_0_none,51001,planning,none,1,0,1,0,250,0.0,0,0,161.82,0.0,3.1207926273345947
P5_full_matrix,planning_bots1_0_none,51002,planning,none,1,0,1,0,250,0.0091,0,0,174.38,0.0521,2.984537363052368
P5_full_matrix,planning_bots1_low_none,51000,planning,none,1,low,1,0,250,0.0182,0,0,162.55,0.1119,3.297912836074829
P5_full_matrix,planning_bots1_low_none,51001,planning,none,1,low,1,0,250,0.0,0,0,158.61,0.0,3.1361961364746094
P5_full_matrix,planning_bots1_low_none,51002,planning,none,1,low,1,0,250,0.0091,0,0,172.27,0.0528,3.08876371383667
