phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P2_single_agent,planning_single,2035562917,planning,none,1,0,1,0,250,0.0,0,0,1140.8,0.0,0.10265803337097168
P2_single_agent,planning_single,245979977,planning,none,1,0,1,0,250,0.0333,6,0,1145.11,0.0291,0.10524630546569824
P2_single_agent,planning_single,1479779479,planning,none,1,0,1,0,250,0.05,0,0,1158.67,0.0432,0.1038520336151123
P2_single_agent,reactive_single,500847738,reactive,none,1,0,1,0,250,0.0,0,0,1204.1,0.0,0.060370683670043945
P2_single_agent,reactive_single,1004928540,reactive,none,1,0,1,0,250,0.0833,12,0,1256.78,0.0663,0.07735228538513184
P2_single_agent,reactive_single,1856031456,reactive,none,1,0,1,0,250,0.0667,0,0,1147.76,0.0581,0.06555747985839844
P3_multi_agent,bots1_none,1129999224,planning,none,1,low,1,0,250,0.04,0,0,309.9,0.1291,1.5394961833953857
P3_multi_agent,bots1_none,568378317,planning,none,1,low,1,0,250,0.02,0,0,302.69,0.0661,1.3069615364074707
P3_multi_agent,bots1_none,974272645,planning,none,1,low,1,0,250,0.02,0,0,288.67,0.0693,1.3067693710327148
P3_multi_agent,bots2_none,2114052416,planning,none,2,low,1,0,250,0.05,6,0,536.26,0.0932,2.515355348587036
P3_multi_agent,bots2_none,1658630918,planning,none,2,low,1,0,250,0.02,0,0,565.09,0.0354,2.6352384090423584
P3_multi_agent,bots2_none,1805925713,planning,none,2,low,1,0,250,0.09,0,0,639.9,0.1406,2.3136370182037354
P3_multi_agent,bots2_basic,118099201,planning,basic,2,low,1,0,250,0.04,52,11,466.79,0.0857,1.809382438659668
P3_multi_agent,bots2_basic,110000521,planning,basic,2,low,1,0,250,0.07,0,0,580.63,0.1206,1.9366719722747803
P3_multi_agent,bots2_basic,1769247137,planning,basic,2,low,1,0,250,0.02,0,0,527.84,0.0379,1.601522445678711
P3_multi_agent,bots2_enhanced,1805105654,planning,enhanced,2,low,1,0,250,0.03,0,0,583.55,0.0514,1.6643846035003662
P3_multi_agent,bots2_enhanced,739844991,planning,enhanced,2,low,1,0,250,0.03,14,3,664.63,0.0451,4.744373321533203
P3_multi_agent,bots2_enhanced,689171444,planning,enhanced,2,low,1,0,250,0.08,35,8,670.77,0.1193,1.5976691246032715
P3_multi_agent,bots3_none,13839694,planning,none,3,low,1,0,250,0.08,32,7,887.21,0.0902,3.352987289428711
P3_multi_agent,bots3_none,278516262,planning,none,3,low,1,0,250,0.09,0,0,873.91,0.103,3.601365804672241
P3_multi_agent,bots3_none,1230569737,planning,none,3,low,1,0,250,0.06,95,4,829.15,0.0724,3.3957812786102295
P3_multi_agent,bots3_basic,2110273649,planning,basic,3,low,1,0,250,0.1,0,0,851.02,0.1175,1.6666936874389648
P3_multi_agent,bots3_basic,660706249,planning,basic,3,low,1,0,250,0.07,19,0,874.02,0.0801,1.7718024253845215
