phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P2_single_agent,planning_single,20000,planning,none,1,0,1,0,1200,0.0,0,0,4733.71,0.0,1.4441978931427002
P2_single_agent,planning_single,20001,planning,none,1,0,1,0,1200,0.0667,0,0,4782.18,0.0139,2.205824851989746
P2_single_agent,planning_single,20002,planning,none,1,0,1,0,1200,0.0167,0,0,4566.64,0.0036,1.6514439582824707
P2_single_agent,planning_single,20003,planning,none,1,0,1,0,1200,0.0,0,0,4503.93,0.0,1.3802382946014404
P2_single_agent,planning_single,20004,planning,none,1,0,1,0,1200,0.05,0,0,5235.08,0.0096,1.437192440032959
P2_single_agent,planning_single,20005,planning,none,1,0,1,0,1200,0.0,0,0,4825.44,0.0,1.7237088680267334
P2_single_agent,planning_single,20006,planning,none,1,0,1,0,1200,0.0333,0,0,4617.27,0.0072,3.0556442737579346
P2_single_agent,planning_single,20007,planning,none,1,0,1,0,1200,0.0667,0,0,5363.1,0.0124,1.7579874992370605
P2_single_agent,planning_single,20008,planning,none,1,0,1,0,1200,0.05,0,0,4573.64,0.0109,2.0094969272613525
P2_single_agent,planning_single,20009,planning,none,1,0,1,0,1200,0.0,0,0,4544.66,0.0,1.5116991996765137
P2_single_agent,planning_single,20010,planning,none,1,0,1,0,1200,0.05,0,0,5246.22,0.0095,2.131950855255127
P2_single_agent,planning_single,20011,planning,none,1,0,1,0,1200,0.05,0,0,4901.06,0.0102,2.3172926902770996
P2_single_agent,planning_single,20012,planning,none,1,0,1,0,1200,0.0,0,0,4759.71,0.0,2.2518227100372314
P2_single_agent,planning_single,20013,planning,none,1,0,1,0,1200,0.05,0,0,4788.72,0.0104,2.256525993347168
P2_single_agent,planning_single,20014,planning,none,1,0,1,0,1200,0.05,3,0,4898.45,0.0102,1.9990825653076172
P2_single_agent,planning_single,20015,planning,none,1,0,1,0,1200,0.0,0,0,4822.06,0.0,1.587900161743164
P2_single_agent,planning_single,20016,planning,none,1,0,1,0,1200,0.0167,2,0,4600.3,0.0036,2.0031206607818604
P2_single_agent,planning_single,20017,planning,none,1,0,1,0,1200,0.05,0,0,4917.25,0.0102,1.2702884674072266
P2_single_agent,planning_single,20018,planning,none,1,0,1,0,1200,0.0,0,0,4801.58,0.0,2.143860340118408
P2_single_agent,planning_single,20019,planning,none,1,0,1,0,1200,0.0,0,0,4797.79,0.0,1.8037521839141846
P2_single_agent,planning_single,20020,planning,none,1,0,1,0,1200,0.0,0,0,4837.48,0.0,1.9300239086151123
P2_single_agent,planning_single,20021,planning,none,1,0,1,0,1200,0.0167,0,0,5262.78,0.0032,1.5453617572784424
P2_single_agent,planning_single,20022,planning,none,1,0,1,0,1200,0.0333,0,0,4848.92,0.0069,1.3419878482818604
P2_single_agent,planning_single,20023,planning,none,1,0,1,0,1200,0.0667,0,0,4627.15,0.0144,1.948866605758667
P2_single_agent,planning_single,20024,planning,none,1,0,1,0,1200,0.0167,0,0,4555.56,0.0037,1.9874534606933594
P2_single_agent,planning_single,20025,planning,none,1,0,1,0,1200,0.0167,1,0,4758.08,0.0035,1.5187349319458008
P2_single_agent,planning_single,20026,planning,none,1,0,1,0,1200,0.0,0,0,4573.34,0.0,2.460292100906372
P2_single_agent,planning_single,20027,planning,none,1,0,1,0,1200,0.0167,0,0,4789.91,0.0035,2.0391411781311035
P2_single_agent,planning_single,20028,planning,none,1,0,1,0,1200,0.0,0,0,4872.31,0.0,1.61564302444458
P2_single_agent,planning_single,20029,planning,none,1,0,1,0,1200,0.0,0,0,4716.19,0.0,1.4665474891662598
P2_single_agent,reactive_single,20000,reactive,none,1,0,1,0,1200,0.0833,5,0,5648.72,0.0148,1.1154537200927734
P2_single_agent,reactive_single,20001,reactive,none,1,0,1,0,1200,0.05,0,0,5475.16,0.0091,1.2964816093444824
P2_single_agent,reactive_single,20002,reactive,none,1,0,1,0,1200,0.0667,1,0,5862.96,0.0114,1.1034798622131348
P2_single_agent,reactive_single,20003,reactive,none,1,0,1,0,1200,0.0,0,0,5565.89,0.0,0.9952554702758789
P2_single_agent,reactive_single,20004,reactive,none,1,0,1,0,1200,0.05,0,0,5482.67,0.0091,1.009784460067749
P2_single_agent,reactive_single,20005,reactive,none,1,0,1,0,1200,0.0333,0,0,5303.01,0.0063,1.0307276248931885
P2_single_agent,reactive_single,20006,reactive,none,1,0,1,0,1200,0.05,0,0,5413.18,0.0092,0.9709415435791016
P2_single_agent,reactive_single,20007,reactive,none,1,0,1,0,1200,0.0833,0,0,5667.31,0.0147,0.9607329368591309
P2_single_agent,reactive_single,20008,reactive,none,1,0,1,0,1200,0.0667,1,0,5494.34,0.0121,1.0832467079162598
P2_single_agent,reactive_single,20009,reactive,none,1,0,1,0,1200,0.0,0,0,5455.8,0.0,0.9387807846069336
P2_single_agent,reactive_single,20010,reactive,none,1,0,1,0,1200,0.0167,0,0,5599.38,0.003,0.9918770790100098
P2_single_agent,reactive_single,20011,reactive,none,1,0,1,0,1200,0.05,0,0,5589.68,0.0089,1.019885540008545
P2_single_agent,reactive_single,20012,reactive,none,1,0,1,0,1200,0.05,0,0,5347.04,0.0094,1.0685532093048096
P2_single_agent,reactive_single,20013,reactive,none,1,0,1,0,1200,0.0333,0,0,5451.93,0.0061,1.0850813388824463
P2_single_agent,reactive_single,20014,reactive,none,1,0,1,0,1200,0.0333,0,0,5571.53,0.006,0.986903190612793
P2_single_agent,reactive_single,20015,reactive,none,1,0,1,0,1200,0.0,0,0,5563.14,0.0,0.9742193222045898
P2_single_agent,reactive_single,20016,reactive,none,1,0,1,0,1200,0.0167,0,0,5558.23,0.003,1.0506796836853027
P2_single_agent,reactive_single,20017,reactive,none,1,0,1,0,1200,0.1,6,0,5469.89,0.0183,1.0696203708648682
P2_single_agent,reactive_single,20018,reactive,none,1,0,1,0,1200,0.0167,0,0,5444.56,0.0031,0.9611706733703613
P2_single_agent,reactive_single,20019,reactive,none,1,0,1,0,1200,0.0167,0,0,5499.2,0.003,0.9812846183776855
P2_single_agent,reactive_single,20020,reactive,none,1,0,1,0,1200,0.0667,2,0,5499.3,0.0121,1.077962875366211
P2_single_agent,reactive_single,20021,reactive,none,1,0,1,0,1200,0.0167,1,0,5831.79,0.0029,1.022010087966919
P2_single_agent,reactive_single,20022,reactive,none,1,0,1,0,1200,0.0833,1,0,5882.66,0.0142,1.0101454257965088
P2_single_agent,reactive_single,20023,reactive,none,1,0,1,0,1200,0.05,0,0,5479.25,0.0091,0.9997158050537109
