phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P2_single_agent,planning,none,1,0,30,0.023896666666666667,0.02463965801561452,1200.0,0.2,0.004896666666666666,0.0,1.8599027713139853
P2_single_agent,reactive,none,1,0,30,0.03556,0.030232907396662543,1200.0,0.5666666666666667,0.0064,0.0,1.030646022160848
P3_multi_agent,planning,basic,2,low,30,0.04833333333333333,0.02853713048104091,1200.0,50.666666666666664,0.019133333333333332,0.0,13.948476672172546
P3_multi_agent,planning,basic,3,low,30,0.07833333333333334,0.029836720413903926,1200.0,78.36666666666666,0.020223333333333333,0.0,18.685567220052082
P3_multi_agent,planning,basic,5,low,30,0.11466666666666667,0.044235524289821665,1200.0,106.93333333333334,0.017116666666666665,0.0,25.886896538734437
P3_multi_agent,planning,enhanced,2,low,30,0.051000000000000004,0.03497289590920177,1200.0,25.133333333333333,0.01793,0.0,15.789893500010173
P3_multi_agent,planning,enhanced,3,low,30,0.08066666666666666,0.04463903760343539,1200.0,43.766666666666666,0.018349999999999998,0.0,18.98785770734151
P3_multi_agent,planning,enhanced,5,low,30,0.12033333333333335,0.04303032878566348,1200.0,71.43333333333334,0.0165,0.0,27.85667742093404
P3_multi_agent,planning,none,1,low,30,0.042666666666666665,0.019640446187314118,1200.0,32.833333333333336,0.03811,0.0,10.837981287638346
P3_multi_agent,planning,none,2,low,30,0.053000000000000005,0.03687350230739946,1200.0,54.3,0.019506666666666665,0.0,26.71670655409495
P3_multi_agent,planning,none,3,low,30,0.093,0.029844424188990706,1200.0,56.96666666666667,0.02244,0.0,24.922636898358665
P3_multi_agent,planning,none,5,low,30,0.15333333333333332,0.03942109826610298,1200.0,122.8,0.02283,0.0,39.36002990404765
P4_noise_robustness,planning,none,3,0,30,0.10296333333333334,0.02507173822197545,1200.0,84.83333333333333,0.025263333333333336,0.0,19.173747539520264
P4_noise_robustness,planning,none,3,high,30,0.09259666666666666,0.024969242919119974,1200.0,83.26666666666667,0.021163333333333333,0.0,18.16859515508016
P4_noise_robustness,planning,none,3,low,30,0.10186,0.03183112335110252,1200.0,84.56666666666666,0.024586666666666666,0.0,19.181740506490073
P4_noise_robustness,planning,none,3,mid,30,0.10223,0.029373459167218896,1200.0,83.3,0.02468666666666667,0.0,18.097761392593384
P4_noise_robustness,reactive,none,3,0,30,0.20259666666666667,0.08075520900603994,1200.0,22.033333333333335,0.01218,0.0,2.0319024006525677
P4_noise_robustness,reactive,none,3,high,30,0.21148333333333333,0.10346591670468218,1200.0,21.933333333333334,0.012506666666666666,0.0,2.035520656903585
P4_noise_robustness,reactive,none,3,low,30,0.1688933333333333,0.0671962177370194,1200.0,19.533333333333335,0.010186666666666667,0.0,2.067246111234029
P4_noise_robustness,reactive,none,3,mid,30,0.20592333333333332,0.0809580337575281,1200.0,24.066666666666666,0.012343333333333335,0.0,2.061441167195638
