phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P2_single_agent,planning_single,2035562917,planning,none,1,0,1,0,1200,0.0167,0,0,4761.2,0.0035,0.5474700927734375
P2_single_agent,planning_single,245979977,planning,none,1,0,1,0,1200,0.0333,0,0,5359.01,0.0062,0.6872611045837402
P2_single_agent,planning_single,1479779479,planning,none,1,0,1,0,1200,0.05,0,0,4846.94,0.0103,0.5178742408752441
P2_single_agent,reactive_single,500847738,reactive,none,1,0,1,0,1200,0.0,0,0,5322.77,0.0,0.2648918628692627
P2_single_agent,reactive_single,1004928540,reactive,none,1,0,1,0,1200,0.0833,12,0,5503.08,0.0151,0.2532815933227539
P2_single_agent,reactive_single,1856031456,reactive,none,1,0,1,0,1200,0.0667,0,0,5402.84,0.0123,0.24137330055236816
P3_multi_agent,bots1_none,1129999224,planning,none,1,low,1,0,1200,0.13,171,35,1058.24,0.1228,1.9158506393432617
P3_multi_agent,bots1_none,568378317,planning,none,1,low,1,0,1200,0.09,0,0,1284.68,0.0701,1.907189130783081
P3_multi_agent,bots1_none,974272645,planning,none,1,low,1,0,1200,0.05,0,0,1263.56,0.0396,1.8391811847686768
P3_multi_agent,bots2_none,2114052416,planning,none,2,low,1,0,1200,0.19,67,14,2031.76,0.0935,3.6132729053497314
P3_multi_agent,bots2_none,1658630918,planning,none,2,low,1,0,1200,0.2,18,5,2415.78,0.0828,2.8743410110473633
P3_multi_agent,bots2_none,1805925713,planning,none,2,low,1,0,1200,0.17,136,9,2468.78,0.0689,3.163318634033203
P3_multi_agent,bots2_basic,118099201,planning,basic,2,low,1,0,1200,0.15,51,11,2504.13,0.0599,2.804501533508301
P3_multi_agent,bots2_basic,110000521,planning,basic,2,low,1,0,1200,0.25,211,45,2189.81,0.1142,2.905695915222168
P3_multi_agent,bots2_basic,1769247137,planning,basic,2,low,1,0,1200,0.12,191,12,2331.77,0.0515,2.5149576663970947
P3_multi_agent,bots2_enhanced,1805105654,planning,enhanced,2,low,1,0,1200,0.15,54,0,2552.75,0.0588,2.3010318279266357
P3_multi_agent,bots2_enhanced,739844991,planning,enhanced,2,low,1,0,1200,0.27,105,10,2599.8,0.1039,6.602776288986206
P3_multi_agent,bots2_enhanced,689171444,planning,enhanced,2,low,1,0,1200,0.18,258,14,2796.11,0.0644,2.735823154449463
P3_multi_agent,bots3_none,13839694,planning,none,3,low,1,0,1200,0.26,98,21,3811.16,0.0682,5.70947790145874
P3_multi_agent,bots3_none,278516262,planning,none,3,low,1,0,1200,0.31,293,16,3483.11,0.089,5.941628694534302
P3_multi_agent,bots3_none,1230569737,planning,none,3,low,1,0,1200,0.29,381,27,3660.84,0.0792,4.275701284408569
P3_multi_agent,bots3_basic,2110273649,planning,basic,3,low,1,0,1200,0.25,405,0,3717.74,0.0672,3.8729615211486816
P3_multi_agent,bots3_basic,660706249,planning,basic,3,low,1,0,1200,0.19,392,0,3291.22,0.0577,3.468874216079712
P3_multi_agent,bots3_basic,1099332401,planning,basic,3,low,1,0,1200,0.2,6,0,3884.24,0.0515,12.426937341690063
P3_multi_agent,bots3_enhanced,2087407495,planning,enhanced,3,low,1,0,1200,0.18,262,26,3902.88,0.0461,4.6968467235565186
P3_multi_agent,bots3_enhanced,324810588,planning,enhanced,3,low,1,0,1200,0.16,101,21,3926.16,0.0408,4.463952302932739
P3_multi_agent,bots3_enhanced,1563762693,planning,enhanced,3,low,1,0,1200,0.21,228,0,3805.62,0.0552,3.2625763416290283
P3_multi_agent,bots5_none,1298236443,planning,none,5,low,1,0,1200,0.28,861,51,4951.96,0.0565,6.771710395812988
P3_multi_agent,bots5_none,1890322716,planning,none,5,low,1,0,1200,0.34,560,26,5452.99,0.0624,6.272875785827637
P3_multi_agent,bots5_none,402370191,planning,none,5,low,1,0,1200,0.29,152,26,5151.31,0.0563,6.234151363372803
P3_multi_agent,bots5_basic,195175201,planning,basic,5,low,1,0,1200,0.45,409,20,5931.65,0.0759,6.536857604980469
P3_multi_agent,bots5_basic,786099520,planning,basic,5,low,1,0,1200,0.44,202,20,6357.68,0.0692,6.518563747406006
P3_multi_agent,bots5_basic,1060278058,planning,basic,5,low,1,0,1200,0.42,298,47,6341.64,0.0662,5.044777870178223
P3_multi_agent,bots5_enhanced,1922895881,planning,enhanced,5,low,1,0,1200,0.37,224,17,6736.17,0.0549,4.766482830047607
P3_multi_agent,bots5_enhanced,596768804,planning,enhanced,5,low,1,0,1200,0.37,180,25,6971.07,0.0531,5.389976501464844
P3_multi_agent,bots5_enhanced,194662436,planning,enhanced,5,low,1,0,1200,0.3,535,34,5531.94,0.0542,5.001946210861206
P4_noise_robustness,planning_0,85514557,planning,none,3,0,1,0,1200,0.3778,30,0,3903.42,0.0968,3.836134195327759
P4_noise_robustness,planning_0,1845554182,planning,none,3,0,1,0,1200,0.2667,50,2,3735.98,0.0714,4.0393595695495605
P4_noise_robustness,planning_0,617197757,planning,none,3,0,1,0,1200,0.3222,125,9,3773.8,0.0854,4.174856901168823
P4_noise_robustness,planning_low,119905308,planning,none,3,low,1,0,1200,0.2667,345,15,3298.57,0.0808,4.2846291065216064
P4_noise_robustness,planning_low,1564486460,planning,none,3,low,1,0,1200,0.3,147,26,3694.38,0.0812,4.07578444480896
P4_noise_robustness,planning_low,1980863515,planning,none,3,low,1,0,1200,0.1778,165,31,3384.09,0.0525,4.232611656188965
P4_noise_robustness,planning_mid,1594840867,planning,none,3,mid,1,0,1200,0.2556,43,9,3810.5,0.0671,4.044161558151245
P4_noise_robustness,planning_mid,1950765899,planning,none,3,mid,1,0,1200,0.2778,149,27,3703.4,0.075,5.375005722045898
P4_noise_robustness,planning_mid,866026316,planning,none,3,mid,1,0,1200,0.2111,260,13,2905.3,0.0727,4.6119606494903564
P4_noise_robustness,planning_high,1084044816,planning,none,3,high,1,0,1200,0.2889,88,7,3840.38,0.0752,3.9033291339874268
P4_noise_robustness,planning_high,2000987635,planning,none,3,high,1,0,1200,0.3222,333,58,3717.28,0.0867,3.715543508529663
P4_noise_robustness,planning_high,1425155306,planning,none,3,high,1,0,1200,0.2222,108,14,3758.37,0.0591,4.5971150398254395
P4_noise_robustness,reactive_0,1438355756,reactive,none,3,0,1,0,1200,0.2889,79,8,16405.51,0.0176,1.100327491760254
P4_noise_robustness,reactive_0,1406093483,reactive,none,3,0,1,0,1200,0.1,41,9,16397.08,0.0061,1.1225430965423584
P4_noise_robustness,reactive_0,573054222,reactive,none,3,0,1,0,1200,0.0556,1,0,16497.52,0.0034,1.1468026638031006
P4_noise_robustness,reactive_low,2026046470,reactive,none,3,low,1,0,1200,0.2556,150,15,16510.89,0.0155,1.151921033859253
P4_noise_robustness,reactive_low,38239732,reactive,none,3,low,1,0,1200,0.1889,18,4,16620.99,0.0114,1.0547971725463867
P4_noise_robustness,reactive_low,769006345,reactive,none,3,low,1,0,1200,0.1667,82,0,16195.68,0.0103,1.195763349533081
P4_noise_robustness,reactive_mid,169143391,reactive,none,3,mid,1,0,1200,0.1444,84,7,16224.45,0.0089,1.2823126316070557
