phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P2_single_agent,planning,none,1,0,3,0.03333333333333333,0.01665002502500622,1200.0,0.0,0.006666666666666667,0.0,0.5842018127441406
P2_single_agent,reactive,none,1,0,3,0.049999999999999996,0.04408956792711854,1200.0,4.0,0.009133333333333334,0.0,0.25318225224812824
P3_multi_agent,planning,basic,2,low,3,0.17333333333333334,0.06806859285554046,1200.0,151.0,0.0752,0.0,2.741718371709188
P3_multi_agent,planning,basic,3,low,3,0.21333333333333335,0.03214550253664318,1200.0,267.6666666666667,0.0588,0.0,6.589591026306152
P3_multi_agent,planning,basic,5,low,3,0.4366666666666667,0.015275252316519473,1200.0,303.0,0.07043333333333333,0.0,6.033399740854899
P3_multi_agent,planning,enhanced,2,low,3,0.20000000000000004,0.062449979983983994,1200.0,139.0,0.0757,0.0,3.8798770904541016
P3_multi_agent,planning,enhanced,3,low,3,0.18333333333333335,0.025166114784235832,1200.0,197.0,0.04736666666666667,0.0,4.141125122706096
P3_multi_agent,planning,enhanced,5,low,3,0.3466666666666667,0.040414518843273815,1200.0,313.0,0.05406666666666667,0.0,5.052801847457886
P3_multi_agent,planning,none,1,low,3,0.09000000000000001,0.04,1200.0,57.0,0.0775,0.0,1.8874069849650066
P3_multi_agent,planning,none,2,low,3,0.18666666666666668,0.015275252316519465,1200.0,73.66666666666667,0.08173333333333334,0.0,3.216977516810099
P3_multi_agent,planning,none,3,low,3,0.2866666666666667,0.02516611478423581,1200.0,257.3333333333333,0.0788,0.0,5.30893596013387
P3_multi_agent,planning,none,5,low,3,0.30333333333333334,0.03214550253664318,1200.0,524.3333333333334,0.0584,0.0,6.4262458483378095
P4_noise_robustness,planning,none,3,0,3,0.3222333333333333,0.0555500075007496,1200.0,68.33333333333333,0.08453333333333334,0.0,4.016783555348714
P4_noise_robustness,planning,none,3,high,3,0.27776666666666666,0.050921148193391434,1200.0,176.33333333333334,0.07366666666666667,0.0,4.071995894114177
P4_noise_robustness,planning,none,3,low,3,0.24816666666666665,0.06317296362632778,1200.0,219.0,0.0715,0.0,4.197675069173177
P4_noise_robustness,planning,none,3,mid,3,0.24816666666666665,0.03396561987264965,1200.0,150.66666666666666,0.0716,0.0,4.677042643229167
P4_noise_robustness,reactive,none,3,0,3,0.14816666666666667,0.1238839914328455,1200.0,40.333333333333336,0.009033333333333334,0.0,1.123224417368571
P4_noise_robustness,reactive,none,3,high,3,0.17036666666666667,0.03902939063492196,1200.0,136.0,0.010433333333333334,0.0,1.1026910940806072
P4_noise_robustness,reactive,none,3,low,3,0.20373333333333332,0.04626903212012688,1200.0,83.33333333333333,0.0124,0.0,1.1341605186462402
P4_noise_robustness,reactive,none,3,mid,3,0.16296666666666668,0.08488676771637221,1200.0,66.0,0.009833333333333333,0.0,1.1625228722890217
P5_full_matrix,planning,basic,3,0,3,0.23030000000000003,0.022848194677041772,1200.0,139.0,0.0679,0.0,3.9504737854003906
P5_full_matrix,planning,basic,3,high,3,0.18483333333333332,0.07730053902356267,1200.0,187.0,0.0481,0.0,5.2643782297770185
P5_full_matrix,planning,basic,3,low,3,0.20303333333333332,0.010507774899251204,1200.0,157.66666666666666,0.06013333333333334,0.0,4.153405825297038
P5_full_matrix,planning,basic,3,mid,3,0.23026666666666665,0.05773502691896258,1200.0,241.0,0.0693,0.0,6.370965003967285
P5_full_matrix,planning,basic,5,0,3,0.3030333333333333,0.034452043964521645,1200.0,338.3333333333333,0.051166666666666666,0.0,5.393381436665853
P5_full_matrix,planning,basic,5,high,3,0.27576666666666666,0.04197336457008578,1200.0,333.6666666666667,0.0457,0.0,5.694979588190715
