phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P2_single_agent,planning_single,2035562917,planning,none,1,0,1,0,1200,0.0167,0,0,4761.2,0.0035,0.42993593215942383
P2_single_agent,planning_single,245979977,planning,none,1,0,1,0,1200,0.0333,0,0,5359.01,0.0062,0.5800197124481201
P2_single_agent,planning_single,1479779479,planning,none,1,0,1,0,1200,0.05,0,0,4846.94,0.0103,0.6192574501037598
P2_single_agent,planning_single,272409886,planning,none,1,0,1,0,1200,0.05,0,0,4781.23,0.0105,0.5350370407104492
P2_single_agent,planning_single,724028905,planning,none,1,0,1,0,1200,0.0,47,0,5216.54,0.0,0.4941403865814209
P2_single_agent,planning_single,1085832905,planning,none,1,0,1,0,1200,0.0333,0,0,4725.21,0.0071,0.5620808601379395
P2_single_agent,planning_single,2129504608,planning,none,1,0,1,0,1200,0.0167,12,0,4767.28,0.0035,1.011582851409912
P2_single_agent,planning_single,1844992667,planning,none,1,0,1,0,1200,0.0833,0,0,5385.61,0.0155,0.5211520195007324
P2_single_agent,planning_single,1533929164,planning,none,1,0,1,0,1200,0.0167,0,0,4820.04,0.0035,0.37280797958374023
P2_single_agent,planning_single,1879806173,planning,none,1,0,1,0,1200,0.05,0,0,4843.95,0.0103,0.5214416980743408
P2_single_agent,planning_single,510223521,planning,none,1,0,1,0,1200,0.0333,39,0,5320.13,0.0063,0.33363842964172363
P2_single_agent,planning_single,1464275584,planning,none,1,0,1,0,1200,0.0333,0,0,4862.38,0.0069,0.6576144695281982
P2_single_agent,planning_single,284255344,planning,none,1,0,1,0,1200,0.0167,0,0,4832.96,0.0034,0.7245137691497803
P2_single_agent,planning_single,1280112235,planning,none,1,0,1,0,1200,0.0,0,0,4577.39,0.0,0.762237548828125
P2_single_agent,planning_single,1675907163,planning,none,1,0,1,0,1200,0.0167,0,0,4822.51,0.0035,0.4037356376647949
P2_single_agent,planning_single,1589328915,planning,none,1,0,1,0,1200,0.0667,13,0,4593.46,0.0145,0.6626651287078857
P2_single_agent,planning_single,1478179694,planning,none,1,0,1,0,1200,0.0667,8,0,4815.67,0.0138,0.41609740257263184
P2_single_agent,planning_single,1928355300,planning,none,1,0,1,0,1200,0.0333,45,0,4476.81,0.0074,1.1893908977508545
P2_single_agent,planning_single,897297976,planning,none,1,0,1,0,1200,0.0667,0,0,4864.22,0.0137,0.9257926940917969
P2_single_agent,planning_single,452112822,planning,none,1,0,1,0,1200,0.1,88,0,5079.2,0.0197,0.49091434478759766
P2_single_agent,planning_single,2047337102,planning,none,1,0,1,0,1200,0.0,67,0,4610.39,0.0,0.4596071243286133
P2_single_agent,planning_single,1202076042,planning,none,1,0,1,0,1200,0.0167,0,0,5249.77,0.0032,0.6272783279418945
P2_single_agent,planning_single,743670127,planning,none,1,0,1,0,1200,0.0667,0,0,4572.47,0.0146,1.0094459056854248
P2_single_agent,planning_single,396628138,planning,none,1,0,1,0,1200,0.0333,0,0,4588.93,0.0073,1.1866512298583984
P2_single_agent,planning_single,706608285,planning,none,1,0,1,0,1200,0.0667,0,0,4857.79,0.0137,0.4671926498413086
P2_single_agent,planning_single,2136767953,planning,none,1,0,1,0,1200,0.0167,22,0,4551.33,0.0037,0.8100526332855225
P2_single_agent,planning_single,1393785185,planning,none,1,0,1,0,1200,0.0333,21,0,4505.71,0.0074,0.5834851264953613
P2_single_agent,planning_single,448142258,planning,none,1,0,1,0,1200,0.0333,31,0,5149.1,0.0065,0.8297011852264404
P2_single_agent,planning_single,345503249,planning,none,1,0,1,0,1200,0.0333,0,0,4576.0,0.0073,0.6549327373504639
P2_single_agent,planning_single,1702295722,planning,none,1,0,1,0,1200,0.0333,0,0,4586.95,0.0073,0.4803309440612793
P2_single_agent,reactive_single,500847738,reactive,none,1,0,1,0,1200,0.0,0,0,5322.77,0.0,0.2483813762664795
P2_single_agent,reactive_single,1004928540,reactive,none,1,0,1,0,1200,0.0833,12,0,5503.08,0.0151,0.25043630599975586
P2_single_agent,reactive_single,1856031456,reactive,none,1,0,1,0,1200,0.0667,0,0,5402.84,0.0123,0.23167133331298828
P2_single_agent,reactive_single,1488902593,reactive,none,1,0,1,0,1200,0.0167,0,0,5471.33,0.003,0.22151827812194824
