phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P2_single_agent,planning,none,1,0,30,0.03722333333333334,0.025022178897562242,1200.0,13.1,0.007686666666666666,0.0,0.6440911372502645
P2_single_agent,reactive,none,1,0,30,0.039446666666666665,0.04185312358740968,1200.0,11.433333333333334,0.0072,0.0,0.26288533210754395
P3_multi_agent,planning,basic,2,low,30,0.13733333333333334,0.05145693434274941,1200.0,144.5,0.05996,0.0,3.107606569925944
P3_multi_agent,planning,basic,3,low,30,0.20733333333333331,0.05375123628623672,1200.0,206.96666666666667,0.05871,0.0,3.706344215075175
P3_multi_agent,planning,basic,5,low,30,0.3396666666666667,0.06195010970090386,1200.0,375.23333333333335,0.058673333333333334,0.0,11.080445313453675
P3_multi_agent,planning,enhanced,2,low,30,0.16666666666666666,0.04212733843572557,1200.0,128.2,0.06308666666666667,0.0,2.677013325691223
P3_multi_agent,planning,enhanced,3,low,30,0.21966666666666665,0.046496817342572015,1200.0,196.96666666666667,0.054893333333333336,0.0,3.5242978652318318
P3_multi_agent,planning,enhanced,5,low,30,0.3253333333333333,0.06527043653184396,1200.0,328.53333333333336,0.04962,0.0,9.21921739578247
P3_multi_agent,planning,none,1,low,30,0.09266666666666666,0.027409202246984354,1200.0,52.333333333333336,0.07783000000000001,0.0,2.258029262224833
P3_multi_agent,planning,none,2,low,30,0.17700000000000002,0.042275777690189746,1200.0,108.93333333333334,0.07378666666666667,0.0,3.2726393858591716
P3_multi_agent,planning,none,3,low,30,0.24000000000000002,0.058309518948453,1200.0,198.13333333333333,0.06877666666666667,0.0,3.9985459566116335
P3_multi_agent,planning,none,5,low,30,0.343,0.055841524532098535,1200.0,302.6666666666667,0.06258,0.0,7.169659757614136
P4_noise_robustness,planning,none,3,0,30,0.2500033333333333,0.05768380208506117,1200.0,144.66666666666666,0.07216666666666667,0.0,12.049692384401958
P4_noise_robustness,planning,none,3,high,30,0.22628666666666666,0.0486145198498338,1200.0,175.7,0.059686666666666666,0.0,17.517414649327595
P4_noise_robustness,planning,none,3,low,30,0.2163,0.04811179509835614,1200.0,231.63333333333333,0.06419666666666667,0.0,15.769032367070515
